quad_k,orig_sigma_x,orig_sigma_y,pred_sigma_x,pred_sigma_y
-1.8582973,0.0001021869492701253,0.0001287827091272718,0.00010980554687767739,0.00011984112547271454
-1.3011938,0.00010279510009278421,0.00010010850477298961,9.632447654293691e-05,9.444926793907894e-05
-0.7512446,9.351682826254768e-05,7.200830434983581e-05,8.441736957880586e-05,7.35206728080734e-05
-0.11383971,6.723023677559307e-05,5.663506094102244e-05,7.270454896688123e-05,6.245616769737548e-05
0.11383971,6.231727603580761e-05,6.159936231916418e-05,6.986762148695999e-05,6.344465623939588e-05
0.7512446,6.970340815357747e-05,8.114328235335392e-05,7.148941493118905e-05,7.609215341573444e-05
1.0918313,8.164037892363018e-05,9.00632984445136e-05,7.905673822431338e-05,8.680529045551151e-05
1.5507025,9.96043341971575e-05,0.00010311622959824175,9.369039549549342e-05,0.00010423421031438
2.2537339,0.00012484369015337832,0.00012115455803422218,0.00012012017324118161,0.00013554895848220732
3.5750008,0.00016438609420850524,0.00014477088651873633,0.0001734328173696518,0.00020366087545355935
