epoch,step,train_loss_epoch,train_loss_step
0,0,,0.10032494366168976
0,1,,0.16727417707443237
0,1,0.13379955291748047,
1,2,,0.10962211340665817
1,3,,0.05358250066637993
1,3,0.0816023051738739,
2,4,,0.09176024049520493
2,5,,0.04117937758564949
2,5,0.06646981090307236,
3,6,,0.07475640624761581
3,7,,0.026641597971320152
3,7,0.05069900304079056,
4,8,,0.07922355085611343
4,9,,0.030279383063316345
4,9,0.05475146695971489,
5,10,,0.07287867367267609
5,11,,0.03149239718914032
5,11,0.0521855354309082,
6,12,,0.06735077500343323
6,13,,0.02999846450984478
6,13,0.04867462068796158,
7,14,,0.056274037808179855
7,15,,0.03040955774486065
7,15,0.04334179684519768,
8,16,,0.0518704354763031
8,17,,0.024166489019989967
8,17,0.03801846131682396,
9,18,,0.051948197185993195
9,19,,0.021038930863142014
9,19,0.036493562161922455,
10,20,,0.04905471205711365
10,21,,0.01969696581363678
10,21,0.034375838935375214,
11,22,,0.042569760233163834
11,23,,0.016970321536064148
11,23,0.02977004088461399,
12,24,,0.039424482733011246
12,25,,0.016169069334864616
12,25,0.027796775102615356,
13,26,,0.04064297303557396
13,27,,0.013415465131402016
13,27,0.027029220014810562,
14,28,,0.03764313459396362
14,29,,0.011229993775486946
14,29,0.02443656325340271,
15,30,,0.03320237621665001
15,31,,0.010890820063650608
15,31,0.02204659953713417,
16,32,,0.02908722124993801
16,33,,0.009598160162568092
16,33,0.019342690706253052,
17,34,,0.02451445162296295
17,35,,0.008956854231655598
17,35,0.016735652461647987,
18,36,,0.01908917911350727
18,37,,0.010029352270066738
18,37,0.014559266157448292,
19,38,,0.016962366178631783
19,39,,0.010708724148571491
19,39,0.01383554469794035,
20,40,,0.016041703522205353
20,41,,0.011127444915473461
20,41,0.013584574684500694,
21,42,,0.014876740984618664
21,43,,0.009911826811730862
21,43,0.012394283898174763,
22,44,,0.014854885637760162
22,45,,0.008784797042608261
22,45,0.011819841340184212,
23,46,,0.014183925464749336
23,47,,0.008325078524649143
23,47,0.011254501529037952,
24,48,,0.013928991742432117
24,49,,0.008017794229090214
24,49,0.010973392054438591,
25,50,,0.01376718282699585
25,51,,0.007196336518973112
25,51,0.010481759905815125,
26,52,,0.013284522108733654
26,53,,0.006154827307909727
26,53,0.009719675406813622,
27,54,,0.012594056315720081
27,55,,0.0059644500724971294
27,55,0.009279252961277962,
28,56,,0.013048472814261913
28,57,,0.006153399590402842
28,57,0.009600935503840446,
29,58,,0.012713017873466015
29,59,,0.005525936838239431
29,59,0.009119478054344654,
30,60,,0.012088360264897346
30,61,,0.005056833382695913
30,61,0.008572596125304699,
31,62,,0.01191980391740799
31,63,,0.005041508469730616
31,63,0.008480655960738659,
32,64,,0.01167310681194067
32,65,,0.00496695889160037
32,65,0.008320032618939877,
33,66,,0.011167901568114758
33,67,,0.004840318579226732
33,67,0.008004110306501389,
34,68,,0.01086075883358717
34,69,,0.004559440538287163
34,69,0.0077101001515984535,
35,70,,0.010667500086128712
35,71,,0.004383343271911144
35,71,0.007525421679019928,
36,72,,0.010415613651275635
36,73,,0.0043297442607581615
36,73,0.0073726787231862545,
37,74,,0.010247520171105862
37,75,,0.004261822905391455
37,75,0.007254672236740589,
38,76,,0.009958767332136631
38,77,,0.004122504498809576
38,77,0.007040636148303747,
39,78,,0.00978673156350851
39,79,,0.00409215223044157
39,79,0.006939442362636328,
40,80,,0.009654845111072063
40,81,,0.00406829034909606
40,81,0.006861567497253418,
41,82,,0.009419858455657959
41,83,,0.00409722700715065
41,83,0.006758542265743017,
42,84,,0.009095904417335987
42,85,,0.00404764898121357
42,85,0.006571776233613491,
43,86,,0.009019504301249981
43,87,,0.003964139614254236
43,87,0.006491822190582752,
44,88,,0.00890350341796875
44,89,,0.0038827811367809772
44,89,0.00639314204454422,
45,90,,0.008776330389082432
45,91,,0.003846665844321251
45,91,0.006311497651040554,
46,92,,0.008578362874686718
46,93,,0.0038613416254520416
46,93,0.00621985225006938,
47,94,,0.008442039601504803
47,95,,0.003832157701253891
47,95,0.006137098651379347,
48,96,,0.008317391388118267
48,97,,0.0037563666701316833
48,97,0.006036879029124975,
49,98,,0.008238471113145351
49,99,,0.0037072417326271534
49,99,0.005972856190055609,
50,100,,0.008126311004161835
50,101,,0.003691550809890032
50,101,0.005908931139856577,
